Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,495.00,503.75,495.00,502.80,501.033239895827120733,50301,1096,25202473.00,15151,30.12,8.75,7.80
31-December-2020,500.00,507.35,491.90,493.20,498.840834735032624165,108202,2535,53975576.00,31950,29.53,15.45,-6.80
30-December-2020,498.35,500.25,493.00,498.75,496.811801422557700682,55112,1427,27380292.00,8153,14.79,7.25,0.40
29-December-2020,497.30,504.80,491.75,496.45,498.329328213940500483,74488,1846,37119555.00,19825,26.62,13.05,-0.85
28-December-2020,500.00,502.60,495.05,498.55,498.676759162014261234,72364,2093,36086245.00,30074,41.56,7.55,-1.45
24-December-2020,498.95,504.85,490.00,496.40,497.003884625062908907,63584,1863,31601495.00,18529,29.14,14.85,-2.55
23-December-2020,488.00,497.70,487.60,494.75,492.772683542781552522,66524,1677,32781210.00,18872,28.37,10.10,6.75
22-December-2020,488.00,496.20,467.10,483.85,479.714168984860587030,217842,5988,104501894.00,65890,30.25,29.10,-4.15
21-December-2020,516.05,531.70,464.45,489.20,506.107903715169007550,243569,6124,123272196.00,36990,15.19,67.25,-26.85
18-December-2020,521.40,522.80,506.90,516.05,514.702897237397405690,77246,1330,39758740.00,20732,26.84,15.90,-5.35
17-December-2020,529.00,535.15,515.50,517.40,527.461644132064997506,106281,2318,56059151.00,25095,23.61,19.65,-11.60
16-December-2020,517.00,529.15,517.00,524.50,523.609139213602550478,65870,2059,34490134.00,19342,29.36,12.15,7.50
15-December-2020,525.45,526.75,512.00,515.35,518.048307475317348377,102096,2262,52890660.00,24559,24.05,14.75,-10.10
14-December-2020,526.25,534.50,524.95,526.20,528.595273681413577786,60216,1281,31829893.00,13065,21.70,9.55,-0.05
11-December-2020,532.00,535.35,522.90,526.85,528.823935673295075403,59944,1506,31699822.00,17651,29.45,12.45,-5.15
10-December-2020,535.00,539.70,521.00,531.95,528.997568464067705573,137773,3864,72881582.00,37823,27.45,18.70,-3.05
9-December-2020,533.00,543.65,529.20,535.50,537.609661629343414171,107663,2382,57880669.00,25298,23.50,14.45,2.50
8-December-2020,533.25,548.00,525.30,530.40,536.285532074812759318,263431,10108,141274234.00,98549,37.41,22.70,-2.85
7-December-2020,503.40,541.20,502.10,532.30,528.797721450218640646,751004,26380,397129204.00,326645,43.49,39.10,28.90
4-December-2020,490.00,504.70,485.65,503.40,495.597790659944693854,206487,5063,102334501.00,70751,34.26,19.05,13.40
3-December-2020,477.05,489.00,477.05,487.70,484.142614785224638753,101385,2083,49084799.00,35191,34.71,11.95,10.65
2-December-2020,480.00,482.05,475.55,479.50,479.307263611116288605,53651,1419,25715314.00,16141,30.09,6.50,-0.50
1-December-2020,475.00,480.55,473.65,476.70,477.030450035630104697,72972,2155,34809866.00,19872,27.23,6.90,1.70
27-November-2020,471.00,478.50,470.05,471.20,473.421462193886671036,83915,1790,39727162.00,19553,23.30,8.45,0.20
26-November-2020,468.45,474.00,460.45,468.75,467.881090948921099711,136945,3910,64073976.00,33834,24.71,13.55,0.30
25-November-2020,483.15,484.60,464.50,466.40,473.949654006897024230,175148,5769,83011334.00,79138,45.18,20.10,-16.75
24-November-2020,482.00,483.55,476.90,480.55,480.405709399460632769,91218,1841,43821648.00,19675,21.57,6.65,-1.45
23-November-2020,481.45,489.00,475.20,479.80,482.229644046303140448,147463,3214,71111030.00,21179,14.36,13.80,-1.65
20-November-2020,484.00,486.60,478.30,481.45,481.734876645090919528,69677,1989,33565841.00,14858,21.32,8.30,-2.55
19-November-2020,479.95,488.25,479.35,482.70,484.347741599127920754,63297,2043,30657759.00,21157,33.42,8.90,2.75
18-November-2020,486.90,487.90,478.70,482.65,482.803154991726420297,90650,1814,43766106.00,27704,30.56,9.20,-4.25
17-November-2020,487.00,491.80,480.75,486.95,487.436143060979776123,149279,3959,72763980.00,70169,47.01,11.05,-0.05
14-November-2020,489.00,490.00,483.45,485.60,486.733725737509634923,14271,443,6946177.00,6033,42.27,6.55,-3.40
13-November-2020,485.00,488.35,481.05,486.40,485.111908880758102294,65321,1408,31687995.00,10545,16.14,7.30,1.40
12-November-2020,482.00,489.75,480.35,483.05,485.323203372749882120,108161,2131,52493043.00,17518,16.20,9.40,1.05
11-November-2020,476.00,484.30,472.55,480.35,479.906011840240140081,179895,3551,86332692.00,41265,22.94,11.75,4.35
